r(km) M(Msun) nb(fm^-3) Ye Ymu Yp Yn mu_n(MeV) mu_p(MeV) mu_e(MeV) mu_mu(MeV)
5.1784223278E+00 2.0865668123E-01 3.7801118853E-01 6.9884198892E-02 3.7665421005E-02 0.10755 0.89245 1.7253963605E+02 0.0000000000E+00 1.8181221195E+02 7.6153842097E+01
5.4420727935E+00 2.3996793404E-01 3.7257102209E-01 6.8970861392E-02 3.6645398728E-02 0.105616 0.894384 1.6726168699E+02 0.0000000000E+00 1.8014412716E+02 7.4485757310E+01
5.7136117965E+00 2.7494935134E-01 3.6666711308E-01 6.7996595842E-02 3.5551359157E-02 0.103548 0.896452 1.6162550854E+02 0.0000000000E+00 1.7833980174E+02 7.2681431885E+01
5.9934267000E+00 3.1391452386E-01 3.6025851273E-01 6.6959450920E-02 3.4379203633E-02 0.101339 0.898661 1.5561699772E+02 0.0000000000E+00 1.7638865729E+02 7.0730287435E+01
6.2820693068E+00 3.5720846359E-01 3.5329543062E-01 6.5857192517E-02 3.3123968666E-02 0.0989812 0.901019 1.4921947760E+02 0.0000000000E+00 1.7427793203E+02 6.8619562180E+01
6.5803467619E+00 4.0522544439E-01 3.4571481334E-01 6.4686963267E-02 3.1779236270E-02 0.0964662 0.903534 1.4241144049E+02 0.0000000000E+00 1.7199148819E+02 6.6333118334E+01
6.8894859709E+00 4.5844397818E-01 3.3743254997E-01 6.3444622788E-02 3.0336058037E-02 0.0937807 0.906219 1.3516232855E+02 0.0000000000E+00 1.6950767144E+02 6.3849301589E+01
7.2034103437E+00 5.1597965814E-01 3.2856215256E-01 6.2156713908E-02 2.8820349633E-02 0.0909771 0.909023 1.2761963842E+02 0.0000000000E+00 1.6686452514E+02 6.1206155283E+01
7.5139474682E+00 5.7621440916E-01 3.1931059529E-01 6.0861086422E-02 2.7272039459E-02 0.0881331 0.911867 1.1999867578E+02 0.0000000000E+00 1.6412695099E+02 5.8468581140E+01
7.8204472826E+00 6.3872209566E-01 3.0968859241E-01 5.9565567285E-02 2.5696088521E-02 0.0852617 0.914738 1.1234065115E+02 0.0000000000E+00 1.6130053065E+02 5.5642160797E+01
8.1222257469E+00 7.0301516517E-01 2.9970719126E-01 5.8277723207E-02 2.4096890389E-02 0.0823746 0.917625 1.0468685387E+02 0.0000000000E+00 1.5839043816E+02 5.2732068303E+01
8.4185235439E+00 7.6854080530E-01 2.8937878012E-01 5.7004749893E-02 2.2478218546E-02 0.079483 0.920517 9.7079087713E+01 0.0000000000E+00 1.5540144162E+02 4.9743071766E+01
8.7975116375E+00 8.5533960826E-01 2.7532575836E-01 5.5368049521E-02 2.0329868374E-02 0.0756979 0.924302 8.7238292163E+01 0.0000000000E+00 1.5136702817E+02 4.5708658315E+01
9.1356138523E+00 9.3503128587E-01 2.6188457661E-01 5.3901149395E-02 1.8326024358E-02 0.0722272 0.927773 7.8376182330E+01 0.0000000000E+00 1.4753623882E+02 4.1877868968E+01
9.4377991806E+00 1.0075016432E+00 2.4902987538E-01 5.2582091227E-02 1.6447664253E-02 0.0690298 0.93097 7.0402918984E+01 0.0000000000E+00 1.4388845871E+02 3.8230088855E+01
9.7080237484E+00 1.0728194449E+00 2.3673934926E-01 5.1389853831E-02 1.4677887172E-02 0.0660677 0.933932 6.3237364975E+01 0.0000000000E+00 1.4040382531E+02 3.4745455455E+01
9.9495553986E+00 1.1311963729E+00 2.2499268941E-01 5.0304474002E-02 1.3002084440E-02 0.0633066 0.936693 5.6806023531E+01 0.0000000000E+00 1.3706339283E+02 3.1405022974E+01
1.0165181882E+01 1.1829536859E+00 2.1377095623E-01 4.9307196729E-02 1.1408161404E-02 0.0607154 0.939285 5.1042298301E+01 0.0000000000E+00 1.3384935693E+02 2.8190987079E+01
1.0357348174E+01 1.2284936995E+00 2.0305619281E-01 4.8380619981E-02 9.8867875293E-03 0.0582674 0.941733 4.5885910460E+01 0.0000000000E+00 1.3074527209E+02 2.5086902236E+01
1.0528248161E+01 1.2682749833E+00 1.9283118067E-01 4.7508817982E-02 8.4316780344E-03 0.0559405 0.94406 4.1282388245E+01 0.0000000000E+00 1.2773622885E+02 2.2077859001E+01
1.0679885651E+01 1.3027906962E+00 1.8307928305E-01 4.6677435991E-02 7.0399306039E-03 0.0537174 0.946283 3.7182574493E+01 0.0000000000E+00 1.2480897746E+02 1.9150607605E+01
