r(km) nb(fm^-3) Ye Ymu Yp Yn mu_n(MeV) mu_p(MeV) mu_e(MeV) mu_mu(MeV)
1.14772409E+01 1.09931209E-01 3.88534851E-02 0.00000000E+00 0.0388535 0.961147 1.59316163E+01 0.00000000E+00 9.90488781E+01 -1.05658370E+02
1.15021548E+01 1.06414544E-01 3.83155542E-02 0.00000000E+00 0.0383156 0.961684 1.53327619E+01 0.00000000E+00 9.75269813E+01 -1.05658370E+02
1.15234607E+01 1.03285850E-01 3.78159979E-02 0.00000000E+00 0.037816 0.962184 1.48275079E+01 0.00000000E+00 9.61402070E+01 -1.05658370E+02
1.15422762E+01 1.00414641E-01 3.73391363E-02 0.00000000E+00 0.0373391 0.962661 1.43854710E+01 0.00000000E+00 9.48389769E+01 -1.05658370E+02
1.15593145E+01 9.77079817E-02 3.68726038E-02 0.00000000E+00 0.0368726 0.963127 1.39867659E+01 0.00000000E+00 9.35860701E+01 -1.05658370E+02
1.15751236E+01 9.50800900E-02 3.64030922E-02 0.00000000E+00 0.0364031 0.963597 1.36155452E+01 0.00000000E+00 9.23441503E+01 -1.05658370E+02
1.15903668E+01 9.24017546E-02 3.59070035E-02 0.00000000E+00 0.035907 0.964093 1.32525128E+01 0.00000000E+00 9.10514263E+01 -1.05658370E+02
1.16084016E+01 8.89594692E-02 3.52420826E-02 0.00000000E+00 0.0352421 0.964758 1.28074704E+01 0.00000000E+00 8.93480623E+01 -1.05658370E+02
1.16186097E+01 8.68127505E-02 3.48111436E-02 0.00000000E+00 0.0348111 0.965189 1.25416467E+01 0.00000000E+00 8.82608288E+01 -1.05658370E+02
1.16263380E+01 8.50486817E-02 3.44472932E-02 0.00000000E+00 0.0344473 0.965553 1.23297127E+01 0.00000000E+00 8.73524547E+01 -1.05658370E+02
1.16330155E+01 8.33974393E-02 3.40985326E-02 0.00000000E+00 0.0340985 0.965901 1.21365422E+01 0.00000000E+00 8.64895894E+01 -1.05658370E+02
1.16388040E+01 8.18465436E-02 3.37635783E-02 0.00000000E+00 0.0337636 0.966236 1.19596344E+01 0.00000000E+00 8.56677676E+01 -1.05658370E+02
1.16440360E+01 8.03302649E-02 3.34290171E-02 0.00000000E+00 0.033429 0.966571 1.23247605E+01 -7.09644389E+01 8.45824994E+01 -1.05658370E+02
